name	date	definitionName	definitionId	definitionDockerRepository	definitionDockerImageTag	definitionDocumentationUrl	definitionIcon	definitionSourceType	definitionReleaseStage	scrapeDescription	scrapeUrl
source-oracle	2021-04-01	Oracle DB	b39a7370-74c3-45a6-ac3a-380d48520a83	airbyte/source-oracle	0.3.21	https://docs.airbyte.com/integrations/sources/oracle	oracle.svg	database	alpha	Database | Oracle	https://www.oracle.com/database/
source-oracle-strict-encrypt	2021-10-14	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Oracle offers a comprehensive and fully integrated stack of cloud applications and cloud platform services.	https://www.oracle.com/
source-orb	2022-02-21	Orb	7f0455fb-4518-4ec0-b7a3-d808bf8081cc	airbyte/source-orb	0.1.4	https://docs.airbyte.com/integrations/sources/orb	orb.svg	api	alpha	orb.comhttps://orb.com	https://orb.com/
source-orbit	2022-06-27	Orbit	95bcc041-1d1a-4c2e-8802-0ca5b1bfa36a	airbyte/source-orbit	0.1.1	https://docs.airbyte.com/integrations/sources/orbit	undefined	api	alpha	Orbithttps://www.orbit.com	https://www.orbit.com/
source-oura	2022-10-28	Oura	2bf6c581-bec5-4e32-891d-de33036bd631	airbyte/source-oura	0.1.0	https://docs.airbyte.com/integrations/sources/oura	undefined	api	alpha	Oùra |https://www.oura.com · Translate this page	https://www.oura.com/
source-outreach	2021-11-23	Outreach	3490c201-5d95-4783-b600-eaf07a4c7787	airbyte/source-outreach	0.1.2	https://docs.airbyte.com/integrations/sources/outreach	outreach.svg	api	alpha	We empower churches to reach communities for Christ using customizable church banners, feather flags, roll up banners, church signs and displays, ...	https://www.outreach.com/
source-pardot	2021-11-19	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Marketing Cloud Account Engagement - Salesforce.comhttp://pardot.com	http://pardot.com/
source-paypal-transaction	2021-07-09	Paypal Transaction	d913b0f2-cc51-4e55-a44c-8ba1697b9239	airbyte/source-paypal-transaction	0.1.10	https://docs.airbyte.com/integrations/sources/paypal-transaction	paypal.svg	api	generally_available	The Paypal Transaction API is used to get the history of transactions for a PayPal account.	https://developer.paypal.com/docs/api/transaction-search/v1/
source-paystack	2021-11-02	Paystack	193bdcb8-1dd9-48d1-aade-91cadfd74f9b	airbyte/source-paystack	0.1.1	https://docs.airbyte.com/integrations/sources/paystack	paystack.svg	api	alpha	Paystack is a growth engine for a new generation of innovative, forward-looking organizations operating in Africa. Air Peace logo. Filmhouse Cinemas logo.	https://paystack.com/
source-persistiq	2022-01-22	PersistIq	3052c77e-8b91-47e2-97a0-a29a22794b4b	airbyte/source-persistiq	0.1.0	https://docs.airbyte.com/integrations/sources/persistiq	persistiq.svg	api	alpha	PersistIQ: Affordable, Easy-to-Use Sales Email Automation ...https://www.persistiq.com	https://www.persistiq.com/
source-pinterest	2021-11-09	Pinterest	5cb7e5fe-38c2-11ec-8d3d-0242ac130003	airbyte/source-pinterest	0.1.8	https://docs.airbyte.com/integrations/sources/pinterest	pinterest.svg	api	generally_available	Discover recipes, home ideas, style inspiration and other ideas to try.	https://www.pinterest.com/
source-pipedrive	2021-07-19	Pipedrive	d8286229-c680-4063-8c59-23b9b391c700	airbyte/source-pipedrive	0.1.13	https://docs.airbyte.com/integrations/sources/pipedrive	pipedrive.svg	api	alpha	Pipedrive is the easy-to-use, #1 user-rated CRM tool. Get more qualified leads and grow your business. Sign up for a 14-day free trial.	https://www.pipedrive.com/
source-pivotal-tracker	2022-04-05	Pivotal Tracker	d60f5393-f99e-4310-8d05-b1876820f40e	airbyte/source-pivotal-tracker	0.1.0	https://docs.airbyte.com/integrations/sources/pivotal-tracker	undefined	api	alpha	Pivotal Tracker: Agile Project Managementhttps://www.pivotaltracker.com	https://www.pivotaltracker.com/
source-plaid	2020-12-31	Plaid	ed799e2b-2158-4c66-8da4-b40fe63bc72a	airbyte/source-plaid	0.3.2	https://docs.airbyte.com/integrations/sources/plaid	plaid.svg	api	alpha	Plaid helps all companies build fintech solutions by making it easy, safe and reliable for people to connect their financial data to apps and services.	https://plaid.com/
source-pokeapi	2021-05-05	PokeAPI	6371b14b-bc68-4236-bfbd-468e8df8e968	airbyte/source-pokeapi	0.1.5	https://docs.airbyte.com/integrations/sources/pokeapi	pokeapi.svg	api	alpha	PokeAPI proudly announces Beta support for GraphQL. Access our free console at ... name: "limber"; url: "api/v2/ability/7/".	https://pokeapi.co/
source-postgres	2020-11-03	Postgres	decd338e-5647-4c0b-adf4-da0e75f5a750	airbyte/source-postgres	1.0.22	https://docs.airbyte.com/integrations/sources/postgres	postgresql.svg	database	generally_available	PostgreSQL: The world's most advanced open source databasehttps://www.postgresql.org	https://www.postgresql.org/
source-postgres-strict-encrypt	2021-09-27	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	PostgreSQL: The world's most advanced open source databasehttps://www.postgresql.org	https://www.postgresql.org/
source-posthog	2021-06-09	PostHog	af6d50ee-dddf-4126-a8ee-7faee990774f	airbyte/source-posthog	0.1.7	https://docs.airbyte.com/integrations/sources/posthog	posthog.svg	api	alpha	PostHog is the all-in-one platform for building better products - with product analytics, feature flags, session recordings, a/b testing, heatmaps, ...	https://posthog.com/
source-prestashop	2021-07-27	Prestashop	d60a46d4-709f-4092-a6b7-2457f7d455f5	airbyte/source-prestashop	0.2.0	https://docs.airbyte.com/integrations/sources/presta-shop	prestashop.svg	api	alpha	PrestaShop is a reliable software that has enabled us to constantly evolve our site over the last 6 years, all while allowing us to work independently, ...	https://www.prestashop.com/en
source-primetric	2022-09-22	Primetric	f636c3c6-4077-45ac-b109-19fc62a283c1	airbyte/source-primetric	0.1.0	https://docs.airbyte.com/integrations/sources/presta-shop	primetric.svg	api	alpha	Futures Start Here ... We believe in enhancing lives and positively impacting the world for the better through advancements in the way we all learn, assess, and ...	https://www.prometric.com/
source-python-http-tutorial	2021-04-27	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Python - HTTP Requests - Tutorialspoint	https://www.tutorialspoint.com/python_network_programming/python_http_requests.htm
source-qualaroo	2021-12-22	Qualaroo	b08e4776-d1de-4e80-ab5c-1e51dad934a2	airbyte/source-qualaroo	0.1.2	https://docs.airbyte.com/integrations/sources/qualaroo	qualaroo.svg	api	alpha	Qualaroo: User Research & Customer Feedback Softwarehttps://qualaroo.com	https://qualaroo.com/
source-quickbooks-singer	2021-04-17	QuickBooks	29b409d9-30a5-4cc8-ad50-886eb846fea3	airbyte/source-quickbooks-singer	0.1.5	https://docs.airbyte.com/integrations/sources/quickbooks	qb.svg	api	alpha	QuickBooks®: Official Site | Smart Tools. Better Business.http://quickbooks.com	http://quickbooks.com/
source-rd-station-marketing	2022-10-28	RD Station Marketing	fb141f29-be2a-450b-a4f2-2cd203a00f84	airbyte/source-rd-station-marketing	0.1.0	https://docs.airbyte.com/integrations/sources/rd-station-marketing	undefined	api	alpha	RD Station - The Complete Platform to Build a Real Growth...	https://www.rdstation.com/en/
source-recharge	2021-05-20	Recharge	45d2e135-2ede-49e1-939f-3e3ec357a65e	airbyte/source-recharge	0.2.4	https://docs.airbyte.com/integrations/sources/recharge	recharge.svg	api	generally_available	Worldwide mobile recharge: send credit and data to any phone. Recipient's country: ... Save time with the Recharge.com app. Recharge anytime, anywhere in ...	https://www.recharge.com/en/us
source-recurly	2020-11-25	Recurly	cd42861b-01fc-4658-a8ab-5d11d0510f01	airbyte/source-recurly	0.4.1	https://docs.airbyte.com/integrations/sources/recurly	recurly.svg	api	alpha	Recurly is the subscription and billing platform trusted by leading brands to grow their recurring revenue faster, smarter, and stronger.	https://recurly.com/
source-redshift	2020-12-01	Redshift	e87ffa8e-a3b5-f69c-9076-6011339de1f6	airbyte/source-redshift	0.3.14	https://docs.airbyte.com/integrations/sources/redshift	redshift.svg	database	alpha	Red Shift Internet Solutionshttps://www.redshift.com	https://www.redshift.com/
source-relational-db	2021-07-06	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	What is a Relational Database (RDBMS)? - Oracle	https://www.oracle.com/database/what-is-a-relational-database/
source-retently	2021-11-02	Retently	db04ecd1-42e7-4115-9cec-95812905c626	airbyte/source-retently	0.1.2	https://docs.airbyte.com/integrations/sources/retently	retently.svg	api	alpha	Retentlyhttps://www.retently.com	https://www.retently.com/
source-rki-covid	2022-05-30	RKI Covid	d78e5de0-aa44-4744-aa4f-74c818ccfe19	airbyte/source-rki-covid	0.1.1	https://docs.airbyte.com/integrations/sources/rki-covid	undefined	api	alpha	COVID-19 - RKI	https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/COVID19.html
source-s3	2021-07-30	S3	69589781-7828-43c5-9f63-8925b1c1ccc2	airbyte/source-s3	0.1.25	https://docs.airbyte.com/integrations/sources/s3	s3.svg	file	generally_available	S3: Compliance Reporting and Trade Analytics Softwarehttps://s3.com	https://s3.com/
source-salesforce	2021-09-08	Salesforce	b117307c-14b6-41aa-9422-947e34922962	airbyte/source-salesforce	1.0.22	https://docs.airbyte.com/integrations/sources/salesforce	salesforce.svg	api	generally_available	Personalize every experience along the customer journey with the Customer 360. Unify marketing, sales, service, commerce, and IT on the world's #1 CRM.	https://www.salesforce.com/
source-salesloft	2021-10-22	SalesLoft	41991d12-d4b5-439e-afd0-260a31d4c53f	airbyte/source-salesloft	0.1.3	https://docs.airbyte.com/integrations/sources/salesloft	salesloft.svg	api	alpha	Salesloft lets you know what's working and what's not to help you set strategy, drive alignment, predictably generate revenue, and scale your sales organization ...	https://salesloft.com/
source-scaffold-java-jdbc	2021-06-09	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	A special Airbyte source for Java JDBC connectors.	https://github.com/airbytehq/airbyte/issues/10618
source-scaffold-source-http	2021-04-26	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	A special Airbyte source for HTTP connectors.	https://docs.airbyte.com/
source-scaffold-source-python	2021-02-17	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	A special Airbyte source for Python connectors.	https://docs.airbyte.com/
source-search-metrics	2021-12-23	SearchMetrics	8d7ef552-2c0f-11ec-8d3d-0242ac130003	airbyte/source-search-metrics	0.1.1	https://docs.airbyte.com/integrations/sources/search-metrics	searchmetrics.svg	api	alpha	We help enterprises understand digital demand, build strategies for tapping into it, and execute at scale. Turn search data into revenue.	https://www.searchmetrics.com/
source-sendgrid	2020-11-24	Sendgrid	fbb5fbe2-16ad-4cf4-af7d-ff9d9c316c87	airbyte/source-sendgrid	0.2.15	https://docs.airbyte.com/integrations/sources/sendgrid	sendgrid.svg	api	beta	SendGrid delivers your transactional and marketing emails through the world's largest cloud-based email delivery platform. Send with confidence.	https://sendgrid.com/
source-sentry	2021-11-03	Sentry	cdaf146a-9b75-49fd-9dd2-9d64a0bb4781	airbyte/source-sentry	0.1.7	https://docs.airbyte.com/integrations/sources/sentry	sentry.svg	api	generally_available	At Sentry, we work to understand your business. We offer customizable business insurance, employee 401(k) plans, business life insurance, and the security ...	https://www.sentry.com/
source-sftp	2022-05-30	SFTP	a827c52e-791c-4135-a245-e233c5255199	airbyte/source-sftp	0.1.2	https://docs.airbyte.com/integrations/sources/sftp	undefined	file	alpha	SFTP Protocol Info Site for Developers - SFTP.nethttps://www.sftp.net	https://www.sftp.net/
source-sftp-bulk	2022-10-28	SFTP Bulk	31e3242f-dee7-4cdc-a4b8-8e06c5458517	airbyte/source-sftp-bulk	0.1.0	https://docs.airbyte.com/integrations/sources/sftp-bulk	undefined	file	alpha	A special Airbyte source for SFTP bulk uploads	https://www.sftp.net/
source-shopify	2021-06-08	Shopify	9da77001-af33-4bcd-be46-6252bf9342b9	airbyte/source-shopify	0.2.0	https://docs.airbyte.com/integrations/sources/shopify	shopify.svg	api	alpha	Try Shopify free and start a business or grow an existing one. Get more than ecommerce software with tools to manage every part of your business.	https://www.shopify.com/
source-shortio	2021-08-16	Short.io	2fed2292-5586-480c-af92-9944e39fe12d	airbyte/source-shortio	0.1.3	https://docs.airbyte.com/integrations/sources/shortio	short.svg	api	alpha	Short.io — White label URL Shortener. Create your own short ...https://short.io	https://short.io/
source-slack	2021-04-20	Slack	c2281cee-86f9-4a86-bb48-d23286b4c7bd	airbyte/source-slack	0.1.18	https://docs.airbyte.com/integrations/sources/slack	slack.svg	api	generally_available	Slack is a new way to communicate with your team. It's faster, better organized, and more secure than email.	https://slack.com/
source-smartsheets	2021-04-15	Smartsheets	374ebc65-6636-4ea0-925c-7d35999a8ffc	airbyte/source-smartsheets	0.1.12	https://docs.airbyte.com/integrations/sources/smartsheets	smartsheet.svg	api	beta	Smartsheet offers a rich set of views, workflows, reports, and dashboards to capture and track your plans, resources, and schedules.	https://www.smartsheet.com/
source-snapchat-marketing	2021-07-29	Snapchat Marketing	200330b2-ea62-4d11-ac6d-cfe3e3f8ab2b	airbyte/source-snapchat-marketing	0.1.8	https://docs.airbyte.com/integrations/sources/snapchat-marketing	snapchat.svg	api	generally_available	Snapchat Ads | Snapchat for Business	https://forbusiness.snapchat.com/en-US/
source-snowflake	2021-06-11	Snowflake	e2d65910-8c8b-40a1-ae7d-ee2416b2bfa2	airbyte/source-snowflake	0.1.24	https://docs.airbyte.com/integrations/sources/snowflake	snowflake.svg	database	alpha	ONE PLATFORM THAT. POWERS THE DATA CLOUD ... Execute your most critical workloads on top of Snowflake's multi-cluster shared data architecture in a fully managed ...	https://www.snowflake.com/en/
source-sonar-cloud	2022-10-28	Sonar Cloud	3ab1d7d0-1577-4ab9-bcc4-1ff6a4c2c9f2	airbyte/source-sonar-cloud	0.1.0	https://docs.airbyte.com/integrations/sources/sonar-cloud	undefined	api	alpha	As a service | SonarCloud | Sonar - SonarSource	https://www.sonarsource.com/products/sonarcloud/
source-square	2021-07-08	Square	77225a51-cd15-4a13-af02-65816bd0ecf4	airbyte/source-square	0.1.4	https://docs.airbyte.com/integrations/sources/square	square.svg	api	alpha	Square | Solutions For Your Small, Medium & Large Businesshttp://square.com	http://square.com/
source-stock-ticker-api-tutorial	2021-01-07	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Top 7 Best Stock Market APIs for Developers in 2022 - RapidAPI	https://rapidapi.com/blog/best-stock-api/
source-strava	2021-10-26	Strava	7a4327c4-315a-11ec-8d3d-0242ac130003	airbyte/source-strava	0.1.2	https://docs.airbyte.com/integrations/sources/strava	strava.svg	api	alpha	Designed by athletes, for athletes, Strava's mobile app and website connect millions of runners and cyclists through the sports they love.	https://www.strava.com/
source-stripe	2021-04-07	Stripe	e094cb9a-26de-4645-8761-65c0c425d1de	airbyte/source-stripe	0.1.40	https://docs.airbyte.com/integrations/sources/stripe	stripe.svg	api	generally_available	Stripe is a suite of APIs powering online payment processing and commerce solutions for internet businesses of all sizes. Accept payments and scale faster.	https://stripe.com/
source-surveymonkey	2021-07-06	SurveyMonkey	badc5925-0485-42be-8caa-b34096cb71b5	airbyte/source-surveymonkey	0.1.11	https://docs.airbyte.com/integrations/sources/surveymonkey	surveymonkey.svg	api	generally_available	Use SurveyMonkey to drive your business forward by using our free online survey tool to capture the voices and opinions of the people who matter most to ...	https://www.surveymonkey.com/
source-talkdesk-explore	2022-05-27	TalkDesk Explore	f00d2cf4-3c28-499a-ba93-b50b6f26359e	airbyte/source-talkdesk-explore	0.1.0	https://docs.airbyte.com/integrations/sources/talkdesk-explore	talkdesk-explore.svg	api	alpha	Talkdesk Explore API allows getting valuable trends and insights regarding the performance of your company by correlating Talkdesk data with data from other systems.	https://docs.talkdesk.com/docs/explore-api
source-tempo	2021-01-12	Tempo	d1aa448b-7c54-498e-ad95-263cbebcd2db	airbyte/source-tempo	0.2.6	https://docs.airbyte.com/integrations/sources/tempo	tempo.svg	api	alpha	Previsão do Tempo para 14 dias - tempo.com	https://www.tempo.com/
source-tidb	2022-04-21	TiDB	0dad1a35-ccf8-4d03-b73e-6788c00b13ae	airbyte/source-tidb	0.2.1	https://docs.airbyte.com/integrations/sources/tidb	tidb.svg	database	alpha	Welcome to Tidb.comhttp://tidb.comhttp://tidb.com	http://tidb.com/
source-tiktok-marketing	2021-10-16	TikTok Marketing	4bfac00d-ce15-44ff-95b9-9e3c3e8fbd35	airbyte/source-tiktok-marketing	0.1.17	https://docs.airbyte.com/integrations/sources/tiktok-marketing	tiktok.svg	api	generally_available	Advertise on TikTok. Make ads that entertain and campaigns that connect. Where large and small businesses, agencies & creators can achieve big results.	https://www.tiktok.com/business/en-US
source-timely	2022-07-15	Timely	bc617b5f-1b9e-4a2d-bebe-782fd454a771	airbyte/source-timely	0.1.0	https://docs.airbyte.com/integrations/sources/timely	timely.svg	api	alpha	Timely.comhttp://timely.comhttp://timely.com	http://timely.com/
source-tplcentral	2021-12-28	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	TPL Enterprises | Responsive Website Design | Logo Design ...http://www.tplcentral.comhttp://www.tplcentral.com	http://www.tplcentral.com/
source-trello	2021-08-25	Trello	8da67652-004c-11ec-9a03-0242ac130003	airbyte/source-trello	0.1.6	https://docs.airbyte.com/integrations/sources/trello	trelllo.svg	api	alpha	Trello is the ultimate project management tool. Start up a board in seconds, automate tedious tasks, and collaborate anywhere, even on mobile.	https://trello.com/
source-tvmaze-schedule	2022-10-28	TVMaze Schedule	bd14b08f-9f43-400f-b2b6-7248b5c72561	airbyte/source-tvmaze-schedule	0.1.0	https://docs.airbyte.com/integrations/sources/tvmaze-schedule	trelllo.svg	api	alpha	Schedule for Monday October 31 - TVmaze.com	https://www.tvmaze.com/schedule
source-twilio	2021-07-04	Twilio	b9dc6155-672e-42ea-b10d-9f1f1fb95ab1	airbyte/source-twilio	0.1.13	https://docs.airbyte.com/integrations/sources/twilio	twilio.svg	api	generally_available	Build personal relationships with each and every customer, cut customer acquisition costs, and increase lifetime value. Twilio Engage uniquely puts the power of ...	https://www.twilio.com/
source-typeform	2021-07-13	Typeform	e7eff203-90bf-43e5-a240-19ea3056c474	airbyte/source-typeform	0.1.9	https://docs.airbyte.com/integrations/sources/typeform	typeform.svg	api	alpha	One question at a time — like a conversation — keeps your audience engaged. You get more thoughtful responses, and higher completion rates. ... Built-in photo and ...	https://www.typeform.com/
source-us-census	2021-07-20	US Census	c4cfaeda-c757-489a-8aba-859fb08b6970	airbyte/source-us-census	0.1.2	https://docs.airbyte.com/integrations/sources/us-census	uscensus.svg	api	alpha	The Census Bureau's mission is to serve as the nation's leading provider of quality data about its ... Measuring America's People, Places, and Economy.	https://www.census.gov/
source-waiteraid	2022-10-29	Waiteraid	03a53b13-794a-4d6b-8544-3b36ed8f3ce4	airbyte/source-waiteraid	0.1.0	https://docs.airbyte.com/integrations/sources/waiteraid	undefined	api	alpha	WaiterAid	https://waiteraid.com/
source-webflow	2022-06-22	Webflow	ef580275-d9a9-48bb-af5e-db0f5855be04	airbyte/source-webflow	0.1.2	https://docs.airbyte.com/integrations/sources/webflow	webflow.svg	api	alpha	Create professional, custom websites in a completely visual canvas with no code. Learn how to create a website by trying Webflow for free!	https://webflow.com/
source-whisky-hunter	2022-10-21	Whisky Hunter	e65f84c0-7598-458a-bfac-f770c381ff5d	airbyte/source-whisky-hunter	0.1.0	https://docs.airbyte.com/integrations/sources/whisky-hunter	undefined	api	alpha	Whisky Hunter — Market Research Tools For Collectors ...	https://whiskyhunter.net/
source-woocommerce	2021-10-07	WooCommerce	2a2552ca-9f78-4c1c-9eb7-4d0dc66d72df	airbyte/source-woocommerce	0.1.2	https://docs.airbyte.com/integrations/sources/woocommerce	woocommerce.svg	api	alpha	WooCommerce is a customizable, open-source eCommerce platform built on WordPress.	https://woocommerce.com/
source-workable	2022-10-27	Workable	ef3c99c6-9e90-43c8-9517-926cfd978517	airbyte/source-workable	0.1.0	https://docs.airbyte.com/integrations/sources/workable	undefined	api	alpha	More than an applicant tracking system, Workable's talent acquisition software helps teams find candidates, evaluate applicants and make the right hire, ...	https://www.workable.com/
source-wrike	2022-09-16	Wrike	9c13f986-a13b-4988-b808-4705badf71c2	airbyte/source-wrike	0.1.0	https://docs.airbyte.com/integrations/sources/wrike	undefined	api	alpha	Only Wrike's work management platform gives your team full visibility and control over all your tasks and projects. Project management software has never ...	https://www.wrike.com/
source-xkcd	2022-10-22	xkcd	80fddd16-17bd-4c0c-bf4a-80df7863fc9d	airbyte/source-xkcd	0.1.1	https://docs.airbyte.com/integrations/sources/xkcd	undefined	api	alpha	Archive · What If? Blag · About · Feed•Email · TW•FB•IG · -Books- · What If? 2 · WI?•TE•HT · xkcd.com logo A webcomic of romance,	https://xkcd.com/
source-yahoo-finance-price	2022-03-24	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Yahoo Finance - Stock Market Live, Quotes, Business ...	https://finance.yahoo.com/
source-yandex-metrica	2022-09-20	Yandex Metrica	7865dce4-2211-4f6a-88e5-9d0fe161afe7	airbyte/source-yandex-metrica	0.1.0	https://docs.airbyte.com/integrations/sources/yandex-metrica	undefined	api	alpha	Yandex.Metrica — free All-Round Web Analytics: session ...	https://metrica.yandex.com/
source-youtube-analytics	2021-11-19	YouTube Analytics	afa734e4-3571-11ec-991a-1e0031268139	airbyte/source-youtube-analytics	0.1.3	https://docs.airbyte.com/integrations/sources/youtube-analytics	youtube.svg	api	beta	YouTube Analytics	https://analytics.youtube.com/
source-zendesk-chat	2021-05-04	Zendesk Chat	40d24d0f-b8f9-4fe0-9e6c-b06c0f3f45e4	airbyte/source-zendesk-chat	0.1.11	https://docs.airbyte.com/integrations/sources/zendesk-chat	zendesk.svg	api	generally_available	The Zendesk Live Chat Conversations API allows your application to act as a Zendesk Chat agent and interact with your website visitors.The API uses the GraphQL data query language to give you more flexibility.	https://developer.zendesk.com/documentation/live-chat/getting-started/auth/
source-zendesk-sell	2022-10-29	Zendesk Sell	982eaa4c-bba1-4cce-a971-06a41f700b8c	airbyte/source-zendesk-sell	0.1.0	https://docs.airbyte.com/integrations/sources/zendesk-sell	zendesk.svg	api	alpha	Zendesk CRM for Sales | All-in-One Sales Platform Zendesk Sell	https://www.zendesk.com/sell/
source-zendesk-sunshine	2021-07-09	Zendesk Sunshine	325e0640-e7b3-4e24-b823-3361008f603f	airbyte/source-zendesk-sunshine	0.1.1	https://docs.airbyte.com/integrations/sources/zendesk-sunshine	zendesk.svg	api	alpha	Develop custom experiences with the Zendesk Platform	https://www.zendesk.com/platform/
source-zendesk-support	2021-08-03	Zendesk Support	79c1aa37-dae3-42ae-b333-d1c105477715	airbyte/source-zendesk-support	0.2.16	https://docs.airbyte.com/integrations/sources/zendesk-support	zendesk.svg	api	generally_available	Zendesk is award-winning customer service software trusted by 200K+ customers. Make customers happy via text, mobile, phone, email, live chat, social media.	https://www.zendesk.com/
source-zendesk-talk	2021-04-14	Zendesk Talk	c8630570-086d-4a40-99ae-ea5b18673071	airbyte/source-zendesk-talk	0.1.5	https://docs.airbyte.com/integrations/sources/zendesk-talk	zendesk.svg	api	generally_available	Best customer service phone software 2022 - Zendesk	https://www.zendesk.com/service/voice/
source-zenefits	2022-09-22	Zenefits	8baba53d-2fe3-4e33-bc85-210d0eb62884	airbyte/source-zenefits	0.1.0	https://docs.airbyte.com/integrations/sources/zenefits	zenefits.svg	api	alpha	Zenefits is an award-winning People Ops Platform that makes it easy to manage your employee documents, HR, benefits, payroll, time and attendance, ...	https://www.zenefits.com/
source-zenloop	2021-11-23	Zenloop	f1e4c7f6-db5c-4035-981f-d35ab4998794	airbyte/source-zenloop	0.1.3	https://docs.airbyte.com/integrations/sources/zenloop	undefined	api	alpha	zenloop | Customer Experience Management Platform	https://www.zenloop.com/en/
source-zoho-crm	2022-04-06	ZohoCRM	4942d392-c7b5-4271-91f9-3b4f4e51eb3e	airbyte/source-zoho-crm	0.1.0	https://docs.airbyte.com/integrations/sources/zoho-crm	undefined	api	alpha	Top-rated Sales CRM Software by Customers - Zoho	https://www.zoho.com/crm/
source-zoom	2022-10-26	Zoom	cbfd9856-1322-44fb-bcf1-0b39b7a8e92e	airbyte/source-zoom	0.1.0	https://docs.airbyte.io/integrations/sources/zoom	zoom.svg	api	alpha	Zoom: Video Conferencing, Cloud Phone, Webinars, Chat ...http://zoom.comhttp://zoom.com	http://zoom.com/
source-zuora	2021-08-05	Zuora	3dc3037c-5ce8-4661-adc2-f7a9e3c5ece5	airbyte/source-zuora	0.1.3	https://docs.airbyte.com/integrations/sources/zuora	zuora.svg	api	alpha	Zuora is the industry leader in subscription management. Build, run and grow your subscription business with Zuora's suite of advanced billing and revenue ...	https://www.zuora.com/