Advertiser ID,Advertiser,Insertion Order ID,Insertion Order,Line Item ID,Line Item,Partner ID,Partner,Cookie Reach: Impression Reach
705159561,Stage Entertainment_Germany,21950660,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_multipleshows_usecase1lalshowpagevisitors,54854397,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_dynamic-image_h5_multipleshows_usecase1lalshowpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,156386
705159561,Stage Entertainment_Germany,21950660,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_multipleshows_usecase1lalshowpagevisitors,55826652,de_2021-8_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_dynamic-image_h5_multipleshows_usecase1lalshowpagevisitors-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,137702
705159561,Stage Entertainment_Germany,21971241,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2homepagevisitor,54856084,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2homepagevisitor,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,145
705159561,Stage Entertainment_Germany,21971241,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2homepagevisitor,55820264,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2homepagevisitor-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,12044
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,54856085,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2showpagevisitor,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,19940
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55085184,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_tlk_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,3129
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55085185,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_froz_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,1748
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55091814,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_bmg_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,203
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55092041,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_ala_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,580
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55092101,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_wic_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,564
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55092490,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_tdv_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,1026
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55092918,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_tdv_usecase2showpagevisitors-oldCreative,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,719
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55792975,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_ala_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,773
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55806586,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_froz_usecase2showpagevisitors-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,1
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55806588,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2showpagevisitors-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,12
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55806595,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_tlk_usecase2showpagevisitors-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,13
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55809308,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_bmg_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,151
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55823499,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_wic_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,511
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55827713,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_ala_usecase2showpagevisitors-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,7
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55827718,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_tdv_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,630
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55828892,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_froz_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,1692
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55828969,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_tlk_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,1466
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55829183,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_static_other_tin_usecase2showpagevisitors-nativeAd,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,489
705159561,Stage Entertainment_Germany,21971243,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2cartabandoners,54856086,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2cartabandoners,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,7206
705159561,Stage Entertainment_Germany,21971243,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2cartabandoners,55828482,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2cartabandoners-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,5502
705159561,Stage Entertainment_Germany,22061360,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_interest_mi_multipleshows_usecase1googleinmarketaudience,55030058,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_interest_mi_dynamic-image_h5_multipleshows_usecase1googleinmarketaudience,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,60209
705159561,Stage Entertainment_Germany,22061360,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_interest_mi_multipleshows_usecase1googleinmarketaudience,55828118,de_2021-8_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_interest_mi_dynamic-image_h5_multipleshows_usecase1googleinmarketaudience-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,310859

Report Time:,2022/02/28 13:07 GMT
Date Range:,2021/12/31 to 2022/01/09
Group By:,Advertiser ID
Group By:,Advertiser
Group By:,Insertion Order ID
Group By:,Insertion Order
Group By:,Line Item ID
Group By:,Line Item
Group By:,Partner ID
Group By:,Partner
MRC Accredited Metrics,Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers from the previous month are finalized (for billing purposes) on the first of each month, unless communicated otherwise. Some numbers in reports may fluctuate for up to seven days before matching billing numbers."
Filter by Advertiser ID:,705159561
Filter by Partner ID:,694186226
